screen_id,organism,experimental_setup,condition_name,condition_class,growth_direction,readout_type,method,current_domain,needs_llm,needs_review
1434,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
2459,Homo sapiens,Drug Exposure,"Thioparib (4-[[4-fluoro-3-[(5R)-5-methyl-3-(1,3-thiazol-2-yl)-6,8-dihydro-5H-[1,2,4]triazolo[4,3-a]pyrazine-7-carbonyl]phenyl]methyl]-2H-phthalazin-1-one)",drug,suppressing,survival,setup,stress,0,0
1435,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2  (Severe acute respiratory syndrome coronavirus 2)|33ºC,pathogen,suppressing,survival,setup,stress,0,0
410,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
832,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
928,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1991,Homo sapiens,Drug Exposure,UM171,drug,suppressing,survival,setup,stress,0,0
2460,Homo sapiens,Drug Exposure,"Thioparib (4-[[4-fluoro-3-[(5R)-5-methyl-3-(1,3-thiazol-2-yl)-6,8-dihydro-5H-[1,2,4]triazolo[4,3-a]pyrazine-7-carbonyl]phenyl]methyl]-2H-phthalazin-1-one)",drug,suppressing,survival,setup,stress,0,0
1436,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2  (Severe acute respiratory syndrome coronavirus 2)|37ºC,pathogen,suppressing,survival,setup,stress,0,0
411,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
833,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
929,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1993,Homo sapiens,Toxin Exposure,alpha-Amanitin,toxin,suppressing,survival,setup,stress,0,0
2461,Homo sapiens,Drug Exposure,"Cpd‐391 (4‐(4‐Fluoro‐3‐(5‐methyl‐3‐(thiazol‐2‐yl)‐5,6,7,8‐tetrahydro‐[1,2,4]triazolo[4,3‐a]pyrazine‐7‐carbonyl)benzyl)phthalazin‐1(2H)‐one)",drug,suppressing,survival,setup,stress,0,0
1441,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
412,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
834,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
930,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1995,Homo sapiens,Drug Exposure,BIBR 1532 (BIBR1532),drug,suppressing,survival,setup,stress,0,0
2462,Homo sapiens,Drug Exposure,"Cpd‐391 (4‐(4‐Fluoro‐3‐(5‐methyl‐3‐(thiazol‐2‐yl)‐5,6,7,8‐tetrahydro‐[1,2,4]triazolo[4,3‐a]pyrazine‐7‐carbonyl)benzyl)phthalazin‐1(2H)‐one)",drug,suppressing,survival,setup,stress,0,0
1442,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
413,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
835,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
931,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1996,Homo sapiens,Timecourse,Mutation: HAPSTR1 (TAPR1) (ETG29035) KO,baseline,none,proliferation,setup,fitness,0,0
2463,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1443,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
414,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
836,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
932,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1997,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (B.1.1.7 Alpha variant),pathogen,suppressing,survival,setup,stress,0,0
2464,Homo sapiens,Drug Exposure,Oxaliplatin,drug,suppressing,survival,setup,stress,0,0
1444,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
415,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
837,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
933,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1998,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (B.1.351 Beta variant),pathogen,suppressing,survival,setup,stress,0,0
2465,Homo sapiens,Other,Transduction with rAAV2-GFP,unknown,UNRESOLVED,marker,unknown,reporter,1,0
1445,Homo sapiens,Drug Exposure,JQ1,drug,suppressing,survival,setup,stress,0,0
416,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
838,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
934,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1999,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2466,Homo sapiens,Other,Spin infection with AAV2-GFP,unknown,UNRESOLVED,marker,unknown,reporter,1,0
1446,Homo sapiens,Drug Exposure,JQ1,drug,suppressing,survival,setup,stress,0,0
839,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
417,Homo sapiens,Virus Exposure,Virus: Dengue virus 2 Thailand/16681/84,pathogen,suppressing,survival,setup,stress,0,0
2000,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
935,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2467,Homo sapiens,Drug Exposure,Formaldehyde,drug,suppressing,survival,setup,stress,0,0
418,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
840,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
936,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1447,Homo sapiens,Drug Exposure,JQ1,drug,suppressing,survival,setup,stress,0,0
2001,Homo sapiens,Timecourse,Mutation: SPPL3 (ETG121665) KO,baseline,none,marker,setup,reporter,0,0
2468,Homo sapiens,Drug Exposure,Formaldehyde,drug,suppressing,survival,setup,stress,0,0
419,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1448,Homo sapiens,Drug Exposure,JQ1,drug,suppressing,survival,setup,stress,0,0
841,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
937,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
420,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
842,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
938,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2002,Homo sapiens,Drug Exposure,Mubritinib,drug,suppressing,survival,setup,stress,0,0
2470,Homo sapiens,Radiation Exposure,Radiation,radiation,suppressing,survival,setup,fitness,0,1
1449,Homo sapiens,Toxin Exposure,CfTX-1 (Chironex fleckeri toxin),toxin,suppressing,survival,setup,stress,0,0
2003,Homo sapiens,Drug Exposure,GPS167,drug,suppressing,survival,setup,stress,0,0
2471,Homo sapiens,Radiation Exposure,Radiation,radiation,suppressing,survival,setup,fitness,0,1
1977,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
1450,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
421,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
843,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
939,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2004,Homo sapiens,Drug Exposure,TG003,drug,suppressing,survival,setup,stress,0,0
2472,Homo sapiens,Radiation Exposure,Radiation,radiation,suppressing,survival,setup,fitness,0,1
