screen_id,organism,condition_class,growth_direction,readout_type,sign_convention,source,status,current_domain,new_domain,domain_changed
2311,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1236,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
268,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
692,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1801,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2312,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1237,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
269,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
693,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1802,Homo sapiens,in-vivo,none,proliferation,,rule,auto,stress,fitness,1
2313,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1238,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
270,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
694,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1803,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
1239,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2314,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
271,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
695,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1804,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2315,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1240,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1805,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
696,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
272,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2316,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
273,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
697,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1241,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1806,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2317,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
274,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
698,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1242,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1807,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2318,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1243,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
275,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
276,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
699,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1808,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
1244,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
700,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1810,Homo sapiens,baseline,none,marker,,rule,auto,reporter,reporter,0
2320,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1245,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
277,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
701,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1811,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2321,Homo sapiens,drug,suppressing,survival,,rule,auto,fitness,stress,1
1246,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
278,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
702,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1812,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2322,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1247,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
279,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
703,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1813,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2323,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1248,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
280,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
704,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1814,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1815,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2324,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1249,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
281,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
705,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2325,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1250,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
282,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
706,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1816,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2326,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
283,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
707,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1251,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1817,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2327,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
284,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
708,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1252,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1818,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
285,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2328,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
709,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1255,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1821,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2329,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
286,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
710,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1256,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1822,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2330,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1257,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
287,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
711,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1823,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2331,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
288,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
712,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1258,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2332,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1824,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
289,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
713,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1291,Homo sapiens,drug,suppressing,survival,,rule,auto,fitness,stress,1
1825,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2333,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
290,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
714,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1292,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1826,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2334,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
291,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
715,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1293,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1827,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2335,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
292,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
716,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1294,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1828,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2336,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
293,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
717,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1295,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1829,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
2337,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1296,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
294,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
718,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1830,Homo sapiens,pathogen,suppressing,survival,,rule,auto,stress,stress,0
1297,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
295,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
719,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1840,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
2339,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
296,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
720,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
1298,Homo sapiens,baseline,none,proliferation,,rule,auto,fitness,fitness,0
2338,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
1843,Homo sapiens,drug,suppressing,survival,,rule,auto,stress,stress,0
