gene,tier,specific,channels,n_cohit,n_cohit_pubs,odds_ratio,cohit_q,spec_enrichment,spec_q,rho,n_coess,coess_q,n_shared_pubs,hit_freq_all,is_core_essential,strength
Atp6v1e1,Weak,True,co-hit|co-citation|contextual,6,6,30.0,1.338e-02,2.6,8.387e-02,0.3691,30,3.706e-01,7,0.2885,False,0.7675
Pold3,Weak,True,co-hit|co-citation|contextual,6,6,30.0,1.338e-02,2.84,8.109e-02,0.317,30,4.721e-01,7,0.264,False,0.7571
Hsp90ab1,Weak,True,co-hit|co-citation|contextual,6,6,30.0,1.338e-02,2.94,7.852e-02,-0.0963,30,8.858e-01,7,0.2547,False,0.6937
Yars2,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,6,22.167,1.429e-02,2.06,9.184e-02,0.6121,31,5.659e-02,6,0.3774,False,0.8147
Uba2,Weak,True,co-hit|co-citation|contextual,7,6,22.167,1.429e-02,2.17,8.387e-02,0.4246,31,2.587e-01,7,0.3585,False,0.7772
Cox7b,Weak,True,co-hit|co-citation|contextual,7,6,22.167,1.429e-02,3.5,7.477e-02,0.4113,31,2.802e-01,7,0.2222,False,0.7745
Gm5148,Weak,True,co-hit|co-citation|contextual,7,6,22.167,1.429e-02,4.39,6.708e-02,0.3871,31,3.269e-01,6,0.1772,False,0.7697
Sumo2,Weak,True,co-hit|co-citation|contextual,7,6,22.167,1.429e-02,2.97,7.477e-02,0.3605,31,3.763e-01,6,0.2621,False,0.7643
Gspt1,Weak,True,co-hit|co-citation|contextual,7,6,22.167,1.429e-02,2.64,7.826e-02,0.3125,31,4.712e-01,6,0.2941,False,0.7547
Rbx1,Weak,True,co-hit|co-citation|contextual,7,6,22.167,1.429e-02,2.68,7.809e-02,0.2931,31,5.133e-01,6,0.2901,False,0.7509
Phf5a,Weak,True,co-hit|co-citation|contextual,6,6,36.0,1.512e-02,2.47,8.616e-02,0.3706,28,3.946e-01,7,0.27,False,0.7651
Pole,Weak,True,co-hit|co-citation|contextual,6,6,36.0,1.512e-02,2.54,8.387e-02,0.3273,28,4.763e-01,6,0.2628,False,0.7565
Ccdc12,Weak,True,co-hit|co-citation|contextual,6,6,28.5,1.529e-02,2.33,8.902e-02,0.4059,29,3.148e-01,6,0.3222,False,0.772
Srsf7,Weak,True,co-hit|co-citation|contextual,6,6,28.5,1.529e-02,2.11,9.440e-02,0.3552,29,4.124e-01,6,0.3556,False,0.7618
Prpf31,Weak,True,co-hit|co-citation|contextual,6,6,28.5,1.529e-02,2.41,8.387e-02,0.3365,29,4.468e-01,7,0.3118,False,0.7581
Hist2h3b,Weak,True,co-hit|co-citation|contextual,7,6,29.75,1.540e-02,2.29,8.387e-02,0.3867,29,3.470e-01,6,0.3818,False,0.768
Rpp21,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,6,21.0,1.717e-02,2.08,8.902e-02,0.584,30,8.439e-02,6,0.3738,False,0.8051
Phb,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,6,23.8,1.990e-02,2.4,7.852e-02,0.6289,30,5.388e-02,7,0.3645,False,0.8108
Wbscr22,Weak,True,co-hit|co-essentiality|co-citation|contextual,6,6,20.0,1.990e-02,2.39,9.138e-02,0.5984,31,6.165e-02,6,0.2788,False,0.8047
Ddx27,Weak,True,co-hit|co-essentiality|co-citation|contextual,6,6,20.0,1.990e-02,2.64,8.387e-02,0.5327,31,1.244e-01,6,0.2523,False,0.7916
Exosc10,Weak,True,co-hit|co-essentiality|co-citation|contextual,6,6,20.0,1.990e-02,3.29,7.717e-02,0.5242,31,1.365e-01,6,0.2029,False,0.7899
Hspa9,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,6,19.833,1.990e-02,2.03,9.393e-02,0.5187,29,1.541e-01,6,0.3827,True,0.7888
Rpl15,Weak,True,co-hit|co-citation|contextual,6,6,25.5,1.990e-02,2.82,8.136e-02,0.4957,27,2.008e-01,6,0.2656,True,0.7842
Hist1h2ad,Weak,True,co-hit|co-citation|contextual,6,6,20.0,1.990e-02,2.31,9.400e-02,0.4948,31,1.607e-01,7,0.2885,False,0.784
