gene,rho,n_coess,coess_p,hit_freq_all
Eif3i,0.4744,29,9.323e-03,0.32
Nup98,0.4742,31,7.039e-03,0.1644
Anxa5,-0.4739,29,9.407e-03,0.0297
Foxb2,-0.4739,29,9.407e-03,0.0227
Grm1,-0.4739,29,9.407e-03,0.0303
Mup9,0.4737,27,1.255e-02,0.2
Polg2,0.4736,30,8.198e-03,0.2786
Pinx1,0.4736,30,8.198e-03,0.2128
Med10,0.4735,30,8.224e-03,0.3034
Rab17,-0.4734,29,9.491e-03,0.01
Prame,-0.4734,29,9.491e-03,0.0
Pramel3,0.4732,30,8.267e-03,0.0556
Gm996,-0.4732,30,8.267e-03,0.0122
Gdf10,-0.4729,29,9.576e-03,0.023
Cxx1a,-0.4729,28,1.104e-02,0.0217
Slc23a3,-0.4729,29,9.576e-03,0.01
Dnajc3,-0.4729,29,9.576e-03,0.0337
Tuba3a,0.4729,29,9.576e-03,0.0098
Sbf1,-0.4727,30,8.336e-03,0.1165
Nsa2,0.4726,31,7.262e-03,0.4225
Otud4,-0.4724,29,9.662e-03,0.0588
Olfr978,-0.4723,30,8.406e-03,0.025
Hist2h3c2,0.4722,31,7.319e-03,0.3448
Sf3b5,0.4722,31,7.319e-03,0.3258
Proz,-0.4719,29,9.749e-03,0.0196
Sema3d,0.4719,30,8.476e-03,0.0337
Cd2bp2,0.4719,29,9.749e-03,0.2174
Dbr1,0.4714,31,7.434e-03,0.4239
Dyrk1b,-0.4714,30,8.547e-03,0.0374
Rps10,0.4714,31,7.434e-03,0.3297
Acp6,-0.4709,29,9.923e-03,0.0189
Gm3417,0.4709,29,9.923e-03,0.0682
Riiad1,0.4709,29,9.923e-03,0.0568
Isg20l2,0.4705,30,8.690e-03,0.26
Aatk,0.4704,29,1.001e-02,0.0294
Lrrc74b,-0.4704,29,1.001e-02,0.023
Wdr43,0.4702,31,7.609e-03,0.3778
Ccnl2,0.4701,30,8.762e-03,0.0421
Polr2g,0.4701,30,8.762e-03,0.3208
Espn,0.4701,30,8.762e-03,0.0549
Gm12169,-0.47,29,1.010e-02,0.0
Plb1,-0.47,29,1.010e-02,0.0097
Cyp2j12,-0.47,29,1.010e-02,0.0333
Krtap9-1,0.4696,30,8.835e-03,0.0606
Mga,0.4696,30,8.835e-03,0.1171
Snx12,-0.4696,30,8.835e-03,0.0192
Khk,0.4695,29,1.019e-02,0.0392
Olfr1320,-0.4695,29,1.019e-02,0.0125
Olfr1102,-0.4695,29,1.019e-02,0.025
Hormad1,-0.4695,29,1.019e-02,0.0
Rps27,0.4694,31,7.728e-03,0.493
Krtap1-5,-0.469,29,1.028e-02,0.0455
Tnnc2,-0.469,29,1.028e-02,0.0303
Frmd6,-0.469,29,1.028e-02,0.0
Akap10,0.4685,29,1.037e-02,0.046
Olfr1288,-0.4685,29,1.037e-02,0.0506
Prnp,-0.4685,29,1.037e-02,0.01
Cybb,-0.4685,29,1.037e-02,0.0099
Pold2,0.4685,31,7.848e-03,0.3364
Fam83g,0.4685,29,1.037e-02,0.0227
Gnpda2,-0.4685,29,1.037e-02,0.0099
Gprc5b,-0.4683,30,9.056e-03,0.0392
Chic1,-0.4683,30,9.056e-03,0.0337
Zfp991,0.4683,30,9.056e-03,0.2683
Gtf2h2,0.4683,30,9.056e-03,0.2283
Fech,0.4683,30,9.056e-03,0.2264
Scgb2b12,0.4683,30,9.056e-03,0.14
Pidd1,0.468,29,1.046e-02,0.0435
Nr1h3,-0.468,29,1.046e-02,0.0192
Grwd1,0.4679,30,9.130e-03,0.3426
Rpl28,0.4677,31,7.969e-03,0.3804
Insl3,-0.4675,29,1.056e-02,0.0291
Sfrp4,-0.4675,29,1.056e-02,0.0196
Pycr2,-0.4675,29,1.056e-02,0.0
Vmn2r24,-0.4674,30,9.206e-03,0.0119
Impdh2,0.4673,31,8.031e-03,0.3048
Olfml3,0.467,29,1.065e-02,0.0233
Olfr1297,0.467,29,1.065e-02,0.0127
Fgf14,-0.467,29,1.065e-02,0.0114
Plk2,-0.467,29,1.065e-02,0.0286
Slamf1,-0.467,29,1.065e-02,0.0297
Gins1,0.4665,29,1.074e-02,0.2979
Nox1,-0.4665,29,1.074e-02,0.019
H2-M10.6,-0.4665,29,1.074e-02,0.0465
Gtf3c4,0.4665,30,9.358e-03,0.25
Rps11,0.4663,28,1.237e-02,0.4568
St3gal2,-0.4661,30,9.435e-03,0.0097
Lmf1,-0.466,29,1.084e-02,0.0225
Rarg,-0.466,29,1.084e-02,0.0377
Fez1,-0.4657,31,8.281e-03,0.0562
Actr10,0.4657,31,8.281e-03,0.3118
Tcf24,-0.4656,30,9.512e-03,0.0588
Btbd6,-0.4655,29,1.093e-02,0.0303
Ptchd4,-0.4655,29,1.093e-02,0.0805
Rpl31,0.4653,31,8.344e-03,0.4096
Slc46a1,0.4652,30,9.590e-03,0.0381
Med17,0.4652,30,9.590e-03,0.3085
Sap30l,0.465,29,1.103e-02,0.0333
Fbxo39,-0.465,29,1.103e-02,0.0198
Wdr24,0.465,29,1.103e-02,0.2247
Cdkn2a,-0.465,29,1.103e-02,0.1143
Lrrc38,-0.465,29,1.103e-02,0.0115
Zfp110,-0.4645,29,1.113e-02,0.0222
Timm17b,-0.4645,29,1.113e-02,0.05
Ncf4,-0.4645,29,1.113e-02,0.0396
Vmn2r88,-0.4645,29,1.113e-02,0.0408
D830030K20Rik,0.4643,30,9.748e-03,0.2449
Srfbp1,0.4641,31,8.538e-03,0.2747
Cep85,0.464,29,1.122e-02,0.0909
Bbs1,0.464,29,1.122e-02,0.0227
Mum1l1,-0.464,29,1.122e-02,0.0225
Trim42,-0.464,29,1.122e-02,0.0101
Rbm12b2,-0.464,29,1.122e-02,0.0349
Vps13d,0.4638,30,9.827e-03,0.2571
Rad51d,0.4638,30,9.827e-03,0.227
Olfr1220,-0.4638,30,9.827e-03,0.0375
Acr,-0.4637,31,8.603e-03,0.0294
Cers5,-0.4635,29,1.132e-02,0.087
Defa36,0.4635,29,1.132e-02,0.1282
Cnot7,-0.4635,29,1.132e-02,0.0562
Nup62,0.4633,31,8.668e-03,0.2212
Fam58b,0.4633,31,8.668e-03,0.3063
Vmn2r42,0.4632,26,1.716e-02,0.125
Cwc25,0.4631,29,1.142e-02,0.1494
Nit2,-0.4631,29,1.142e-02,0.0099
1810055G02Rik,0.4631,29,1.142e-02,0.0225
Olfr355,0.4631,29,1.142e-02,0.0123
Tiprl,0.4631,28,1.309e-02,0.3118
Kcnu1,-0.4631,29,1.142e-02,0.0196
Ccni,-0.4631,29,1.142e-02,0.0562
Rps14,0.463,30,9.988e-03,0.3678
Mfap5,-0.463,30,9.988e-03,0.0769
Txn1,0.4629,31,8.734e-03,0.3113
Ankrd34b,0.4626,29,1.152e-02,0.0114
Tfr2,-0.4626,29,1.152e-02,0.0194
Olfr1044,-0.4626,29,1.152e-02,0.0125
Ciao1,0.4625,31,8.801e-03,0.3333
Sash3,-0.4625,30,1.007e-02,0.0333
Pcdha7,-0.4623,25,1.998e-02,0.0267
Wrap53,0.4621,30,1.015e-02,0.3011
Soga3,-0.4621,29,1.162e-02,0.0349
Fhl2,-0.4621,29,1.162e-02,0.0222
Mrpl52,0.4619,31,8.893e-03,0.2766
Nup155,0.4617,31,8.935e-03,0.2336
Hist1h3b,0.4617,31,8.935e-03,0.2453
Ddx18,0.4617,31,8.935e-03,0.3019
Tefm,0.4616,30,1.023e-02,0.3146
Dtymk,0.4616,30,1.023e-02,0.3619
Dcaf13,0.4616,29,1.172e-02,0.2547
Col4a4,-0.4616,29,1.172e-02,0.0297
Pabpn1l,-0.4616,29,1.172e-02,0.0341
Prcc,0.4616,29,1.172e-02,0.0769
Als2cl,-0.4616,29,1.172e-02,0.0449
Mrps17,0.4611,29,1.182e-02,0.2021
Klhl11,-0.4611,29,1.182e-02,0.0098
Psma2,0.4609,31,9.071e-03,0.3431
Add2,-0.4607,30,1.040e-02,0.0455
Ncbp3,0.4606,29,1.192e-02,0.1228
Rln1,-0.4606,29,1.192e-02,0.0345
Ascl1,-0.4606,29,1.192e-02,0.0337
Sars2,0.4603,30,1.048e-02,0.3208
Cdc5l,0.4603,30,1.048e-02,0.2171
Anks1,-0.4603,30,1.048e-02,0.0111
1700011L22Rik,0.4601,29,1.203e-02,0.0455
Prim1,0.4601,31,9.208e-03,0.2762
Igfbp5,-0.4601,29,1.203e-02,0.0341
Npy5r,-0.4601,29,1.203e-02,0.0303
Scap,0.4598,30,1.057e-02,0.3511
Arrdc3,-0.4598,30,1.057e-02,0.0778
Cap1,0.4597,31,9.278e-03,0.2553
Olfr1026,0.4596,29,1.213e-02,0.0375
Rab8a,-0.4596,29,1.213e-02,0.0562
Ano10,-0.4596,29,1.213e-02,0.0
Ddr2,-0.4596,29,1.213e-02,0.0194
Olfr867,-0.4596,29,1.213e-02,0.0123
Hist1h2bn,0.4594,30,1.065e-02,0.3455
Psmc1,0.4594,30,1.065e-02,0.3656
3632451O06Rik,-0.4594,30,1.065e-02,0.0114
Mrpl51,0.4593,31,9.348e-03,0.3368
Mrps18b,0.459,30,1.074e-02,0.2418
Slc25a53,-0.4586,29,1.234e-02,0.0222
Tmem8b,-0.4586,29,1.234e-02,0.0
Bsg,0.4586,29,1.234e-02,0.1111
Arvcf,-0.4586,29,1.234e-02,0.0222
Crip1,-0.4586,29,1.234e-02,0.023
Prrc2b,-0.4586,29,1.234e-02,0.0575
Cd81,-0.4586,29,1.234e-02,0.011
Uqcrq,0.4585,31,9.489e-03,0.287
Lars,0.4585,30,1.083e-02,0.2482
Lrrc28,-0.4581,29,1.245e-02,0.0114
Tectb,-0.4581,29,1.245e-02,0.0341
Alg14,0.4581,31,9.560e-03,0.25
AW551984,0.4581,30,1.091e-02,0.0111
Ccdc153,-0.4581,29,1.245e-02,0.0227
Ccdc115,0.4581,30,1.091e-02,0.3596
Magoh,0.4581,31,9.560e-03,0.3448
Cyld,-0.4581,29,1.245e-02,0.0488
Psmc5,0.4581,29,1.245e-02,0.3107
Slc25a26,0.4576,30,1.100e-02,0.2952
Cgn,-0.4576,29,1.255e-02,0.0455
Speer4f1,-0.4576,30,1.100e-02,0.0556
Lekr1,-0.4576,29,1.255e-02,0.0112
1700001O22Rik,-0.4576,29,1.255e-02,0.023
Dspp,0.4576,29,1.255e-02,0.0333
BC061237,0.4573,31,9.704e-03,0.3148
Lrriq3,-0.4571,29,1.266e-02,0.0227
Drap1,0.4567,30,1.118e-02,0.3474
Nxf3,-0.4567,29,1.277e-02,0.0101
Dpys,-0.4567,29,1.277e-02,0.0198
Smyd3,-0.4567,29,1.277e-02,0.019
Stk38,-0.4558,30,1.136e-02,0.0935
Sh3bp5l,0.4557,29,1.299e-02,0.0682
Ankrd9,0.4557,29,1.299e-02,0.0114
Nyap1,-0.4557,29,1.299e-02,0.0227
Pcdh15,-0.4557,29,1.299e-02,0.046
Hdac1,0.4556,31,9.997e-03,0.1574
Psmd3,0.4554,30,1.145e-02,0.3444
Gm4305,0.4554,27,1.698e-02,0.1562
Inmt,-0.4554,30,1.145e-02,0.0097
Rps4x,0.4554,27,1.698e-02,0.4648
Exo5,-0.4552,29,1.310e-02,0.0
Ube2e2,0.4552,29,1.310e-02,0.0194
Phkg2,-0.4552,29,1.310e-02,0.0194
Spaca6,-0.4549,30,1.154e-02,0.0222
Etfdh,0.4547,29,1.321e-02,0.068
Ankrd34c,0.4547,29,1.321e-02,0.023
Fam71d,-0.4547,29,1.321e-02,0.0235
Psmd2,0.4544,31,1.022e-02,0.2762
Atp2b1,0.4542,27,1.731e-02,0.2692
Olfr6,0.4542,29,1.332e-02,0.0494
Dio3,-0.4542,29,1.332e-02,0.0297
Crxos,0.4541,30,1.172e-02,0.0899
Rbms2,0.4537,29,1.344e-02,0.0337
Trpc6,-0.4537,29,1.344e-02,0.0404
Lrrc40,-0.4537,29,1.344e-02,0.0225
Rpl13,0.4537,28,1.530e-02,0.3793
Zranb2,0.4536,30,1.181e-02,0.1304
Rpl32,0.4536,31,1.037e-02,0.4521
Naa20,0.4536,31,1.037e-02,0.3761
Ybx1,0.4532,30,1.191e-02,0.2105
Kti12,0.4532,30,1.191e-02,0.2826
Zscan4d,0.4532,29,1.355e-02,0.0769
Ins2,-0.4532,30,1.191e-02,0.0297
Ascc3,0.4532,30,1.191e-02,0.1151
Slc44a2,-0.4532,29,1.355e-02,0.0
Mre11a,0.4527,29,1.367e-02,0.2574
Olfr459,-0.4527,29,1.367e-02,0.0122
Mgst3,-0.4527,29,1.367e-02,0.0
Ascc1,-0.4527,30,1.200e-02,0.0652
Gusb,-0.4527,29,1.367e-02,0.0244
Rpl8,0.4527,29,1.367e-02,0.3846
Gpr33,-0.4527,29,1.367e-02,0.023
Tufm,0.4523,30,1.210e-02,0.3107
Fcna,0.4523,30,1.210e-02,0.0227
Ccdc137,0.4523,30,1.210e-02,0.2527
Nop14,0.4523,30,1.210e-02,0.2857
Casp8ap2,0.4518,30,1.219e-02,0.2247
Creb3l2,-0.4518,30,1.219e-02,0.0532
Atp13a5,0.4517,29,1.390e-02,0.0303
Coq2,0.4517,29,1.390e-02,0.233
Rbm22,0.4516,31,1.076e-02,0.3579
Dnal4,0.4514,30,1.229e-02,0.0303
Ccdc86,0.4514,30,1.229e-02,0.3011
Eif1b,-0.4512,29,1.401e-02,0.0112
Abraxas2,-0.4512,29,1.401e-02,0.0581
Pggt1b,0.4509,30,1.238e-02,0.375
Olfr1246,0.4507,29,1.413e-02,0.0375
Amtn,0.4507,29,1.413e-02,0.0333
Rpl7,0.4507,29,1.413e-02,0.381
Hist1h2ao,0.4505,30,1.248e-02,0.2941
Fam43a,-0.4502,29,1.425e-02,0.0112
4430402I18Rik,-0.4502,29,1.425e-02,0.0112
Egfl8,-0.4502,29,1.425e-02,0.0112
Cnpy1,-0.4502,29,1.425e-02,0.0556
1700030J22Rik,-0.4502,29,1.425e-02,0.0349
Scarf2,-0.4502,29,1.425e-02,0.0099
Fgfrl1,-0.4501,30,1.258e-02,0.0098
Ube2e1,0.4498,29,1.437e-02,0.0476
H6pd,-0.4498,29,1.437e-02,0.0099
Eif2b3,0.4496,30,1.268e-02,0.3222
Paf1,0.4496,31,1.116e-02,0.3229
Hrg,-0.4496,30,1.268e-02,0.0109
